Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),
2022,SVA,Savoonga Airport,Savoonga,AK,1196.00,
2022,SWD,Seward Airport,Seward,AK,236.00,
2022,SYA,Eareckson AS,Shemya,AK,602.03,
2022,TAL,Ralph M Calhoun Memorial,Tanana,AK,133.00,
2022,TCL,Tuscaloosa National,Tuscaloosa,AL,343.91,
2022,TNC,Tin City LRRS,Tin City,AK,350.00,
2022,TOG,Togiak Airport,Togiak,AK,453.50,
2022,TPL,Draughon-Miller Central Texas Regional,Temple,TX,312.53,
2022,TVL,Lake Tahoe Airport,Lake Tahoe,CA,100.86,
2022,UCA,Oneida County,Utica/Rome,NY,352.99,
2022,UGB,Ugashik Bay,Pilot Point,AK,441.00,
2022,VEE,Venetie Airport,Venetie,AK,492.33,
2022,VIS,Visalia Municipal,Visalia,CA,406.02,
2022,WAS,Washington DC Metropolitan Area,Washington,DC,340.07,
2022,WDG,Enid Woodring Regional,Enid,OK,407.64,
2022,WHR,Vail/Avon,Eagle,CO,1135.50,
2022,WMH,Baxter County,Mountain Home,AR,397.92,
2022,WMO,White Mountain Airport,White Mountain,AK,448.00,
2022,WSN,South Naknek 2,South Naknek,AK,754.00,
2022,WWP,Whale Pass Airport,Whale Pass,AK,289.00,
2022,YKN,Chan Gurney Municipal,Yankton,SD,376.20,
2022,YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,280.96,
2021,LAX,Los Angeles International,Los Angeles,CA,322.20,
2021,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,284.93,
2021,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,303.74,
2021,DEN,Denver International,Denver,CO,271.37,
2021,EWR,Newark Liberty International,Newark,NJ,313.97,
2021,BOS,Logan International,Boston,MA,329.44,
2021,SEA,Seattle/Tacoma International,Seattle,WA,308.81,
2021,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,319.66,
2021,MCO,Orlando International,Orlando,FL,220.15,
2021,SFO,San Francisco International,San Francisco,CA,388.38,
2021,PHX,Phoenix Sky Harbor International,Phoenix,AZ,292.23,
2021,LGA,LaGuardia,New York-La Guardia,NY,283.63,
2021,JFK,John F. Kennedy International,New York-JFK,NY,338.82,
